編號,金額,電話,付款狀態,品項,辣度
1,250,937,0,3;4,null
2,220,182,1,9;9,小;小
3,130,null,0,2,null
4,130,984,0,2,null
5,110,null,1,9,微
6,200,null,1,7;8,null
7,230,989,0,3;7,null
8,100,null,1,5,null
9,240,317,0,4*2,null
10,100,null,1,5,null
11,100,null,1,5,null
12,100,null,1,8,null
13,100,null,1,11,小
14,200,null,1,5*2,null
15,100,null,1,5,null
16,100,219,0,5,null
17,520,760,0,3*4,null
18,140,null,1,4,null
19,250,null,1,3;4,null
20,200,742,0,7;11,無
21,100,null,1,8,null
22,130,null,1,3,null
23,230,null,0,3;8,null
24,230,076,0,3;5,null
25,100,null,0,8,null
26,820,null,1,3*4;5*2;7,null
27,300,750,0,7*3,null
28,100,null,1,7,null
29,200,979,0,5*2,null
30,120,null,0,4,null
31,100,null,1,7,null
32,100,null,1,5,null
33,390,null,1,3*3,null
34,1380,null,0,3*4;5*3;7*4;8,null
35,100,212,0,7,null
36,210,212,0,8;11;27,中
37,200,179,0,5;7,null
38,130,null,1,3,null
39,200,977,0,11*2,無;無
40,650,null,1,3*5,null
41,100,null,1,5,null
42,130,null,1,3,null
43,230,943,0,1;5,null
44,230,536,0,3;15,null
