編號,金額,電話,付款狀態,品項,辣度,
1,250,579,0,3;9,無,
2,130,254,0,3,null,
3,550,100,1,3*2;5*2;16,小,
4,105,null,1,5;25,null;25辣,
5,100,null,1,5,null,
6,210,null,1,7;9,無,
7,100,null,1,5,null,
8,110,null,1,9,小,
9,210,776,0,9;10,無;無,
10,350,852,0,3;4;5,null,
11,100,531,0,5,null,
12,250,null,1,3;4,null,
13,100,239,0,8,null,
14,320,null,1,4;5;8,null,
15,200,null,1,8*2,null,
16,100,null,1,7,null,
17,130,739,0,3,null,
18,170,null,1,9,小,
19,100,799,0,5,null,
20,130,581,0,1,null,
21,130,286,0,2,null,
22,230,267,0,3;8,null,
23,100,276,0,5,null,
24,360,737,0,1*2;5,null,
25,200,296,0,7*2,null,
26,100,null,1,8,null,
27,110,null,1,9,小,
28,100,null,1,11,小,
29,130,null,1,2,null,
30,230,null,1,3;8,null,
31,330,987,0,3;5*2,null,
32,100,589,0,5,null,
33,230,303,0,1;5,null,
34,260,null,1,2;3,null,
35,240,885,0,4*2,null,
36,195,null,1,4;21;23,null,
37,220,858,0,4;5,null,
38,100,888,0,5,null,
39,180,null,1,9;19,小,
40,110,251,0,9,無,
41,190,938,0,5;15,null,
42,390,null,0,3*3,null,
43,400,null,1,5*4,null,
44,200,977,0,7*2,null,
45,130,null,1,3,null,
46,340,229,0,4*2;5,null,
47,130,null,1,3,null,
48,450,051,0,2;5;8;10;27,微,
49,3260,425,0,3*4;4;5*8;7*5;8*12;14;22,null,
50,100,null,1,7,null,
51,330,762,0,9*3,無,
52,100,null,0,5,null,
53,390,072,0,3*3,null,
54,135,null,1,3,null,
55,130,null,1,3,null,
56,1610,953,0,5*10;7*3;8*2;9,小,
57,220,null,1,9*2,無;小,
58,260,null,0,3*2,null,
59,100,null,0,5,null,
60,230,316,0,4;9,無,
